vehicle_id,vehicle_localmips,total_tasks,total_task_mips,tasks_completed_local,local_failed,tasks_from_others,other_task_mips,others_completed,others_failed,total_execution_time,total_computation_time,simulation_time,trust_factor,z_score,other_total_comp_time
604,3218.537851,679,501181.6473,169,0,510,375928.1417,509,1,155.7171829,155.5494554,6000,11646.54525,0.219040603,116.63318
607,2018.771088,447,335963.4658,118,0,329,242387.0124,313,16,166.4197926,160.8297489,6000,10888.65283,0.426249578,114.476572
610,1317.077886,373,281162.7869,79,0,294,221799.7573,225,69,213.4746851,172.5321094,6000,8651.776516,3.710852368,127.4603409
613,1024.710795,224,165439.5991,64,0,160,118234.5768,130,30,161.4500404,139.1680287,6000,7081.933883,5.434528775,93.10135051
616,3093.405122,780,591497.5483,220,0,560,427149.3717,553,7,191.2124422,189.7919919,6000,13524.29761,0.297242282,136.6634265
619,2428.49574,606,452174.7407,117,0,489,367332.3727,485,4,186.195402,185.0065333,6000,14888.1483,0.385614079,150.0703517
622,2738.687457,890,666844.1688,152,0,738,550616.1964,697,41,243.4904235,231.8476843,6000,17776.56473,0.541078457,189.4083866
625,1230.207724,484,358110.6385,92,0,392,288332.6842,187,205,291.0976995,167.2066794,6000,-1340.480587,3.403256124,110.4862143
628,3027.04756,660,485054.7997,168,0,492,361809.9882,492,0,160.2402308,160.2402308,6000,11952.57032,0.232153652,119.5257032
631,2367.207719,606,458642.7831,263,0,343,257043.6916,343,0,193.7484317,193.7484317,6000,10858.51865,0.346153827,108.5851865
634,1326.215501,440,330199.3101,80,0,360,269011.3216,262,98,248.9786237,194.2951019,6000,9347.429054,2.860346324,148.1578123
637,1936.732193,588,442390.0744,95,0,493,371083.0618,439,54,228.4208813,207.141805,6000,14904.45187,1.151722287,170.323595
640,2827.867088,1099,826356.4801,242,0,857,642751.8655,857,0,292.2189956,292.2189956,6000,22729.21058,0.202331023,227.2921058
643,2331.559035,927,695193.9946,178,0,749,561362.9213,723,26,298.1670136,290.035685,6000,22450.45345,0.510266516,232.6358631
646,1743.179498,378,281225.8475,114,0,264,196391.766,240,24,161.3292537,150.8487705,6000,9170.199592,1.646596588,102.1824791
649,3217.514423,571,430938.201,149,0,422,321606.0442,420,2,133.9351264,133.5698124,6000,9922.418246,0.262908209,99.58949645
652,1175.40275,282,212453.409,56,0,226,169789.8772,179,47,180.7494571,152.0235004,6000,8700.059635,3.660749768,115.726553
655,1135.498923,277,205455.4127,62,0,215,158827.7083,171,44,180.9384479,151.5018305,6000,8100.158594,4.510601487,110.4382034
658,3441.394719,694,517079.8649,125,0,569,423886.2211,564,5,150.2529954,149.1728117,6000,12101.24319,0.255813615,122.0926156
661,1087.464605,345,256300.3612,92,0,253,188462.0249,160,93,235.686164,170.1245455,6000,4218.081725,4.857745257,107.7424358
664,3117.185068,1141,858250.2143,437,0,704,533766.818,704,0,275.3286044,275.3286044,6000,17123.3599,0.186494256,171.233599
667,2933.424993,686,515537.5113,161,0,525,394445.1664,490,35,175.7459327,167.5062098,6000,11798.62957,0.229420281,126.2260185
670,3002.754587,878,652116.2481,166,0,712,534064.1477,708,4,217.1726757,215.9639368,6000,17544.05963,0.243464687,176.6493351
673,1445.477277,336,254229.968,75,0,261,197426.8368,202,59,175.8796019,145.3379583,6000,7549.916902,2.791112276,106.0408126
676,2444.271976,736,553976.9802,227,0,509,383898.2733,509,0,226.6429372,226.6429372,6000,15706.0375,0.26403493,157.060375
679,2200.986008,474,354862.2473,159,0,315,235000.0895,313,2,161.2287611,160.4831059,6000,10527.90591,0.501637549,106.0247144
682,2137.794763,646,484812.9189,137,0,509,383315.6974,499,10,226.7817881,223.4117956,6000,17256.427,0.519818248,175.9342625
685,1233.963159,385,291371.4268,104,0,281,211492.8548,204,77,236.1265202,187.972875,6000,7508.587735,3.573326136,123.2395226
688,2070.993269,645,483824.51,120,0,525,392902.9651,476,49,233.6195473,216.2893868,6000,15505.68408,0.967112436,172.3870013
691,2734.247007,641,478311.9884,363,0,278,205078.8672,278,0,174.9337156,174.9337156,6000,7500.378227,0.325724135,75.00378227
694,2586.324829,573,427409.9171,117,0,456,337954.179,448,8,165.2576321,162.8500424,6000,12585.44779,0.445493966,128.2620675
697,1014.831992,238,178140.6463,91,0,147,110373.4239,105,42,175.5370818,145.1756025,6000,4803.73336,7.075621166,78.39881288
700,1457.490511,347,260671.5848,67,0,280,212226.4343,201,79,178.8495931,137.8801188,6000,6367.190279,2.827706072,104.6413771
703,1614.99262,348,261681.9406,64,0,284,213921.5801,256,28,162.0329018,148.7435559,6000,10588.10962,1.974978913,119.1704421
706,2853.4956,823,616933.5622,242,0,581,434305.8488,581,0,216.2027382,216.2027382,6000,15220.13382,0.211073884,152.2013382
709,1994.229872,794,588903.3467,176,0,618,460843.7038,588,30,295.3036433,283.7370168,6000,20795.53043,0.70402598,219.5219308
712,3402.43225,631,475625.3325,128,0,503,380894.0718,503,0,139.7898026,139.7898026,6000,11194.75845,0.200738375,111.9475845
715,3119.712639,719,534560.645,174,0,545,401834.4898,545,0,171.3493218,171.3493218,6000,12880.4969,0.206257994,128.804969
718,3090.666472,1167,876857.9452,271,0,896,676105.0169,886,10,283.7116049,281.1562806,6000,21364.63808,0.200698036,216.2017052
721,3445.731045,893,673718.8092,230,0,663,500296.9611,662,1,195.5227499,195.2380644,6000,14462.38999,0.211223731,144.9085854
724,1055.153115,257,188846.8404,34,0,223,165544.0288,116,107,178.9757693,105.5992263,6000,1013.791531,5.039885888,83.51445837
727,1083.86993,337,255877.9261,129,0,208,158041.3823,121,87,236.0780745,174.174239,6000,2200.445827,4.894638531,83.90829374
730,1076.079688,258,192481.204,48,0,210,155718.7392,78,132,178.8726302,87.56750852,6000,-3790.094243,4.986492384,53.4041792
733,1286.800765,279,208753.1224,60,0,219,162783.7183,137,82,162.2264518,115.2104461,6000,3247.064744,3.961099164,79.48665317
